"#Protein common name"	"Gene Model ID"	"PMID"	"Localisation"	"GenBank Accession Mapping notes"	"Microscopy Type"	"Tag Type"	"Quote"	"Strain"	"Comments"	
"Cpa135"	"cgd7_1730"	14747151	"apical during free sporozoite, PV during intracellular stages"	"blast from AJ006593, annotation matches"	"Light"	"monoclonal antibody directly to protein"	"The Cpa135 protein was localized in the apical complex, and it was found to be secreted by sporozoites during their gliding. Cpa135 persisted during the intracellular stages of the parasite, and it defined the boundaries of the parasitophorous vacuole in the infected cells … Thus, Cpa135 overlayed the PVM after the host-cell infection, at least for the internal asexual stages."	"ISSC6"	"strain information found from genbank entry AJ006593"	"possibly microneme during free sporozoite because of colocalisation"
"GP900"	"cgd7_4020"	9851610	"surface during sporozoite, microneme during intracellular stages"	"blast from AF068065, annotation doesn't match, gene model inconsistent?"	"EM"	"monoclonal antibody directly to protein"	"GP900 is stored in micronemes prior to appearance on the surface of invasive forms."	"AUCP-1"		
"gp-15"		19168760	"surface during sporozoite and merozoite"		"Light"	"polyclonal antibody directly to protein"	"CpSUB1 was colocalized with gp15, an antigen that is present on the surfaces of sporozoites and merozoites (11)."	"Iowa"		
"CpABC2"	"cgd2_70"	11849715	"apical during sporozoite"	"Blast from AF315508, annotation matches"	"Light"	"polyclonal antibody directly to protein"	"IFA showed CpABC2 localized to the apical end of sporozoites"		"strain information not found"	
"CpABC1, CpABC"		11849715	"cytoplasm and apical and anterior to the nucleus during sporozoite, periphery during meront"		"Light"	"polyclonal antibody directly to protein"	"CpABC1 is broadly distributed through the sporozoite with some concentration in the apical region and anterior to the nucleus (Fig. 1, panels B–D). The pattern of fluorescence was punctate suggesting the protein is compartmentalized. ... Studies on meronts released from their host cells showed CpABC1 to be localized at the periphery of the meront (Fig. 2B)"		"strain information not found"	
"Cp-mtHSP70"	"cgd3_3440"	15075277	"mitochondria during freshly excysted sporozoite"	"Blast from AY235430, annotation matches"	"Light, EM"	"antibody to whole protein without mitochondrial presequence"	"Both fluorescein- and immunogold-labeled anti-Cp-mtHSP70 localize to a single mitochondrial compartment in close apposition to the nucleus."	"IOWA"		
"COWP-190"	"cgd6_2090"	8388861	"oocyst wall during oocyst"	"Blast from Z22537, annotation matches"	"confocal light"	"antibody to first 786 amino acids"	"Moreover, confocal microscopy analysis with immunofluorescence indicated that the protein was localized on the oocyst wall as a uniform stain and within the oocyst itself as bright granules in close association with the residual body."		"strain information not found"	
"#Actin"		9017906	"under electro-dense junction during type 1 meront"			"antibody to homologue"	"All of the observed developmental stages have many particles of tropomyosin and actin around pellicle and cytoplasm."		"strain information not found"	"localisation not specific to a single protein"
"#Tropomyosin"		9017906	"both pellices and cytoplasm during type 1 meront"			"antibody to homologue"	"All of the observed developmental stages have many particles of tropomyosin and actin around pellicle and cytoplasm."		"strain information not found"	"localisation not specific to a single protein"
"COWP"	"cgd6_2090"	9149414	"cytoplasmic inclusion during early macrogamete, wall forming bodies during late macrogamete"	"annotation matches"	"EM"		"Electron microscopy localized COWP in a large cytoplasmic inclusion and in the wall-forming bodies of early and late macrogametes, respectively."		"strain information not found"	"localisation method not found"
"CpATPase1"	"cgd4_2720"	9497052	"apical and perinuclear during sporozoite"	"Blast from U65981, annotation matches"	"Light"	"polyclonal antibody directly to protein"	"This protein was used to produce rabbit antiserum and fluorescent labeling has localized the protein to the sporozoite apical and perinuclear regions."	"KSU-1"		
"Cpgp40/15, gp15"	"cgd6_1080"	10858228	"anterior of surface during sporozoite, entire surface and apical during merozoite"	"Blast from AF155624, annotation doesn't match"	"Light"	"antibody"	"The anti-gp40 antisera reacted mainly with the surface of the anterior portion of sporozoites, suggestive of an apical complex localization (Fig. 7A)."	"GCH1"	"gp40 and gp15 are 2 different products of the same gene"	
"gp900"	"cgd7_4020"	11510991	"entire surface during sporozoite and merozoite"	"Blast from AAC98153, annotation matches, gene model inconsistent?"	"Light, EM"	"monoclonal antibody"	"In contrast, gp15 was present on the entire surface of sporozoites (Fig. 7C) as well as merozoites (Fig. 7D)."	"GCH1"	"gp40 and gp15 are 2 different products of the same gene"	
"#CMYL30, CM250"		14727189	"oocyst wall during excysted oocyst"		"Light"	"monoclonal antibody"	"Initially, oocysts were excysted and processed for immunofluorescence with the anti-CP2 antibody and the monoclonal antibody CMYL30 (Fig. 5A, E, I) against CM250 oocyst wall antigen (Yu et al. 2002)."		"no gene model known, not a C. parvum gene – it is a C. muris gene"	
"CP2"		14727189	"Periphery of amylopectin-like granules and cytoplasm proximal to amylopectin-like granules during early macrogametocyte, periphery of parasite subjacent to the parasitophorous vacuole during immature oocyst, between pellicle and parasitophorous vacuole membrane during immature oocyst, PVM and membrane and oocyst wall during fully sporulated oocyst"		"EM"	"polyclonal antibody to whole protein"	"A mature type I meront is shown in Fig. 10B. Again, few gold particles associate with the PVM in regions where the membrane is visible (arrows). Surprisingly, no gold particles were observed in the merozoites. Figure 11A–D illustrates the progression from an early macrogametocyte to a sporulated oocyst. Initially, gold particles are found in the amylopectin-like granules of an early macrogametocyte (Fig. 11A). Figure 11B shows that most electron-dense wall-forming bodies (arrowheads) are negative. Instead, the gold particles heavily decorate the periphery of amylopectin-like vesicles (arrows) and the cytoplasm proximal to these vesicles. An immature oocyst is shown in Fig. 11C. Again, the periphery of amylopectin-like granules and cytoplasm are labeled. Of note in this image is the localization of gold particle clusters at the periphery of the parasite subjacent to the parasitophorous vacuole (arrows) and between the parasite pellicle and PVM (arrowheads). An infection site harboring a fully sporulated oocyst is shown in Fig. 11D. Gold particles decorate the PVM and sporozoite membrane and the oocyst wall (Fig. 11E). Thus, CP2 was found, to some degree, on the PVM of all developmental stages examined."	"Iowa"		
"CP2"	"cgd6_5410"	14727189	"during sporozoite, not residual body during empty oocyst, varied during trophozoite, surrounding during mature type I meront, "	"blast from AY471868, annotation doesn't match"	"Light"	"polyclonal antibody to whole protein"	"Immunogold electron microscopy revealed that CP2 consistently localized to membranous structures throughout development."	"Iowa"		
"#COWP1"		14742544					"Transcript expression analysis revealed that all COWP genes are abundantly expressed at a time when developing oocysts are observed, roughly 48 to 72 h after inoculation of in vitro cultures. A monoclonal antibody recognizing COWP8 specifically localized to the C. parvum oocyst wall, supporting the hypothesis that multiple COWPs play a role in the oocyst wall structure."	"Iowa"	"no localisation done"	
"#COWP2"		14742544		"AY465051"					"no localisation done"	
"#COWP3"		14742544		"AY465052"					"no localisation done"	
"#COWP4"		14742544		"AY465053"					"no localisation done"	
"#COWP6"		14742544		"AY465055"					"no localisation done"	
"#COWP7"		14742544		"AY465058"					"no localisation done"	
"COWP8"	"cgd6_200"	14742544	"oocyst wall during oocyst"	"blast from AY465056"	"Light"	"monoclonal antibody"	"A monoclonal antibody recognizing COWP8 specifically localized to the C. parvum oocyst wall, supporting the hypothesis that multiple COWPs play a role in the oocyst wall structure."	"Iowa"		
"#COWP9"		14742544		"AY465057"					"no localisation done"	
"Cpa135"	"cgd7_1730"	14747151	"microneme during free sporozoite"	"blast from AJ006593, annotation matches"	"Light"	"monoclonal antibody SA35"	"The Cpa135 protein was localized in the apical complex, and it was found to be secreted by sporozoites during their gliding."		"strain information not found"	
"GP900"		14747151	"microneme during free sporozoite"		"Light"	"monoclonal antibody SA40"	"The colocalization of these two antigens enforces the hypothesis that Cpa135 is localized in the micronemes, since SA40 is a portion of GP900 [14], which is a microneme-associated protein [25]."		"strain information not found"	
"#AOX"	"cgd3_3120"	15267107		"Blast from AAQ84545, annotation matches"			"We also identified a partial cDNA sequence coding for an alternative oxidase (AOX) gene, a component of the electron transport chain which can act as an alternative to the terminal mitochondrial respiratory complexes III and IV, which has not yet been reported in any other member of this phylum"		"no localisation done"	
"Hsp60"		15267107	"mitochondrion during free sporozoite and oocyst"		"Light, EM"	"polyclonal antibody to homologue"	"C. parvum oocyst and free sporozoite cross-sections (A and C respectively) show a consistent compartmentalized labelling. In the free sporozoite the labelling is concentrated in an electron-dense region just beside the nuclear region in the same area in which the ultrastructure images indicate the double-membrane organelle presence (C)."	"Iowa"		
"CpCpn60"		16872290	"mitochondrion during sporozoite"		"EM"	"polyclonal antibody directly to protein"	"To define the distribution of CpPNO within the cytoplasm and organellar subcompartments of C. parvum sporozoites, ultrastructural and confocal immunofluorescence analyses were undertaken using C. parvum-specific polyclonal antibodies against the CpPFO (Fig. 5–7, 10–13), a cytosolic fatty acid phosphopantetheinyl transferase (CpPPTase) (Fig. 4, 7, 10) and the mitochondrial chaperone CpCpn60 (Fig. 12, 13)."	"Iowa"		
"CpPNO"	"cgd4_690"	16872290	"cytosol and crystalloid body and not mitochondrion during sporozoite"	"Blast from Q968X7, annotation matches"	"confocal light, EM"	"polyclonal antibody to AFSRDPKGYKTSN and KEFRERALNPTHPTLR"	"Furthermore, confocal immunofluorescence and transmission electron microscopy confirm that CpPNO is localized within the cytosol rather than the relict mitochondrion of C. parvum. The distribution of this protein is not, however, strictly confined to the cytosol. CpPNO also appears to localize posteriorly within the crystalloid body."	"Iowa"		
"CpPPTase"		16872290	"cytosol during sporozoite"		"Light, EM"	"polyclonal antibody"	"Control localization of cytosolic fatty acid phosphopantetheinyl transferase (CpPPTase) using Alexa-488 donkey anti-rabbit secondary antibody shows diffuse green fluorescence throughout the cytoplasm."	"Iowa"		
"CP12"	"cgd4_2330"	17097085	"surface and especially apical during sporozoite, surface during oocyst"	"blast from XM_625821.1, annotation doesn't match"	"Light"	"antibody"	"Immunofluorescence assay (IFA) using antibody specific for rCP12 demonstrated that the antibody can specifically bind the surface of sporozoite and oocyst, especially apical region of sporozoite."	"Changchun City"		
"p30"	"cgd6_2330"	17905738	"apical during sporozoite, intracellular during sporozoite and intracellular stages"	"blast from AY308041, annotation doesn't match"	"Light"	"polyclonal antibody to whole protein"	"p30 is localized to the apical region of sporozoites and is predominantly intracellular in both sporozoites and intracellular stages of the parasite."	"Iowa"		
"Cp-mtSOD"	"cgd5_3230"	18551319		"blast from DQ156546, annotation matches"					"no localisation done, just a confirmation of gene model"	
"COWP1"		19949049	"inner surface of the oocyst wall during oocyst, vesicles during excysted sporozoites"		"Fixed light"	"antibody"	"COWP1, which is present on the inner surface of the oocyst wall (stained red with MPA), is accessible to anti-COWP1 antibodies (green) only after oocyst walls are broken."	"Iowa"		
"gp15"		19949049	"exterior during oocyst, surface during sporozoites"		"Fixed light"	"polyclonal antibody"	"Polyclonal, mono-specific antibodies to recombinant gp15 (green) bind to the exterior of intact oocysts, where oocyst walls are labeled red with WGA. (Set B) Antibodies to gp15 (green) agglutinate intact C. parvum sporozoites, which are labeled red on their surface with Alexa Fluor dye. "	"Iowa"		
"gp15"		19949049	"outer veil on exterior of oocyst wall during oocyst, not outer wall during oocyst, not during sporozoites"		"EM"	"antibody"	"Immuno-EM shows protein A-gold binding to anti-gp15 antibodies, which react with the outer veil (OV) on the exterior of oocyst walls but do not react with the outer wall (OW) or sporozoites (Spz)."	"Iowa"		
"gp900"		19949049	"inner surface of oocyst walls during oocyst, outer surface during sporozoite"		"Fixed light"	"monoclonal antibody"	"A monoclonal antibody (Ab) to gp900 (4G12 labeled green) binds to the inner surface of broken oocyst walls (Set A) and to the outer surface of a sporozoite (B)."	"Iowa"		
"gp900"		19949049	"tethers on inner surface of the oocyst wall during oocyst, large electron-translucent vesicles during sporozoites"		"EM"	"monoclonal antibody"	"Immuno-EM shows protein A-gold binding to anti-gp900 antibodies, which react with tethers (arrows) on the inner surface of the oocyst walls (OW) and to large, electron-translucent vesicles (ETV) in sporozoites (Spz)."	"Iowa"		
"GP40, gp15, gp40"		19949049	"tethers on inner surface of the oocyst wall and not outer veil during oocyst"		"EM"	"antibody"	"Immuno-EM shows protein A-gold binding to anti-GP40 antibodies, which react with tethers (arrows labeled Teth) on the inner surface of the oocyst walls (OW). The outer veil (OV) is not labeled."	"Iowa"	"gp40/gp15 is a single gene cleaved into two distinct peptides"	
"GP40"		19949049	"inner surface of the oocyst walls during oocyst, surface and vesicles during sporozoite"		"Fixed light"	"polyclonal antibody"	"Polyclonal, mono-specific antibodies to recombinant gp40 (green) bind to the inner surface of oocyst walls (Set A), the surface of intact sporozoites (B), and vesicles within permeabilized sporozoites (C)."	"Iowa"		
"COWP1"	"cgd6_2090"	14742544		"blast from CAA80259, annotation matches"					"no localisation done, just a confirmation of gene model"	
"CpTPx"	"cgd4_740"	22001445	"not during trophozoite, mainly cytoplasm during meront, feeder organelle during developing meront, amylpectin-like granules during macrogametocyte, surface during sporozoites in oocysts attached to intestinal epithelial cells"	"blast from XP_665587"	"EM"	"polyclonal antibody"	"Trophozoite was not labeled with antibody (Fig. 8A). Antibody was localized mainly in the cytoplasm of meront (Fig. 8B) and also anti-CpTPx was found in the feeder organelle of developing meront (Fig. 8C). Many gold particles were found associated with amylopectin-like granules in the macrogametocyte (Fig. 8D) and were also studded on the surfaces of sporozoites in the oocyst that were attached to mouse intestinal epithelial cells (Fig. 8E). In contrast, fewer gold particles were found on sporozoites present in the oocysts from mouse feces (Fig. 8F)."	"KKU"		
