"#Protein common name"	"GenBank ID"	"PMID"	"Localisation"	"mapping comments"	"Microscopy Type"	"Tag Type"	"Quote"	"Strain"	"Comments"	"Comments2"
"Hsp90"	"ETH_00007385"	16753167	"Concentrated apical and cytosol during sporozoite, cytosol and PV and PVM during schizont, cytosol in merozoite"	"blast from AF042329, annotation matches"	"Light"	"polyclonal antibody directly to protein"	"EtHsp90 localisation was investigated in sporozoites and during first schizogony. EtHsp90 had a homogenous distribution in the cytoplasm of sporozoites incubated in PBS (Fig. 3A). On the contrary, in sporozoites incubated in CM, EtHsp90 was concentrated at the apical end of the sporozoites (Fig. 3B). Observations 2 h p.i. show the persistence of apical localisation in intracellular sporozoites (Fig. 3C). Later, this labelling had uniform distribution in immature and mature schizonts (Fig. 3E and F). Moreover, EtHsp90 was detected in PV and particularly concentrated in the PV membrane (PVM) (Fig. 3D and E). In free merozoites, immunostaining was principally localised near the nucleus (Fig. 3G)"			
"EtGAM56"	"ETH_00007320"	18083827	"wall-forming body type II during gametocyte"	"Blast from Edman degradation product VPTTVENTVHPYSEMGHYQEGRPYAAYMG"	"Light"	"monoclonal antibody"	"probably WFBII-derived inner wall during oocysts as well, but 3 proteins are recognized by the monoclonal antibody. Perhaps a complex?"			
"EtENR"	"ETH_00000185"	17559403	"apicoplast during sporozoite"	"blast from AY566297, annotation matches"	"Light"	"polyclonal antibody to synthetic peptide"	"An enoyl reductase (EtENR) closely related to those of green algae and involved in Type II fatty acid synthesis was characterized and localized to the apicoplast in the coccidium Eimeria tenella."			
"Enolase"	"ETH_00024910"	17030033	"apex during first generation merozoite, nucleus during sporozoite and schizont"	"blast from AF353515, gene model inconsistent?"	"light, EM"	"polyclonal antibody directly to protein"	"The enzymes were also localised at the apex of the first generation of merozoites. Enolase was partly observed inside the nucleus of sporozoites and schizonts."	"PaPt36"		
"PYK"	"ETH_00011145"	17030033	"apex during first generation merozoite"	"blast from AF043910, annotation matches"	"light, EM"	"polyclonal antibody directly to protein"	"The enzymes were also localised at the apex of the first generation of merozoites."	"PaPt36"		
"EtENR"		18310354	"apicoplast during mid stage schizont"		"Light"	"polyclonal antibody directly to protein"	"(A) Fluorescence micrograph of a large mid-stage schizont showing the multiple nuclei (N) and a number of large ENR-positive apicoplasts"			
"EtMORN1"	"ETH_00011310"	18310354	"not during schizont, free end of IMC during daughter cell formation, not during macrogamete, nuclear pole during proliferative microgametocyte, flagellar basal bodies during flagellate growth, electron dense collar and adjacent to mitochondrion during microgametogeny, anterior adjacent to mitochondria during mature microgametogeny and free microgamete"	"blast from T. gondii homologue TGME49_110440"	"Light"	"polyclonal antibody to homologue"	"In E. acervulina, there are fewer nuclear divisions, giving rise to approximately eight nuclei (Fig. 3F) with a single elongated apicoplast (Fig. 3E). In both cases, the schizonts did not stain with anti-MORN1, although in certain samples, light staining of the nuclear pole was visible (Fig. 3A). … Sexual development was studied across four coccidian species: T. gondii, E acervulina, E. tenella, and E. maxima. They developed in similar manners and varied only in size and the number of gametes formed. Therefore, coccidian sexual development will be represented in a combined description without differentiating between the species."			
"#EtAMA2"		18310354				"polyclonal antibody directly to protein"	"Anti-EtAMA2 is protein that recognizes the apical membrane antigen 2 protein (AMA2) that is located in the micronemes of the merozoites of E. tenella (F. Tomley, unpublished data)."		"strain information not found"	"localisation not annunciated"
"#Flotillin-1"		"17436964, 17539416"	"apical surface"				"The presence of flotillin-1 on the cellular membrane of sporozoites predominantly at the apical tip suggests that flotillin-1 belongs to the invasion machinery of E. tenella."		"has not been sequenced yet, but can find putative genes using blast against the genome"	
"#HSP70"	"HSP70 was localized at the ultrastructural level using an anti-HSP70 monoclonal antibody in combination with a secondary antibody coupled to colloidal gold."	18573348	"CAA87086"				"boring, didn't see real localisation pictures"			
"#S100"	"Our results demonstrated a positive immunoreaction within the schizonts, macrogametes, and oocysts. These stages were all beta subunit and S100 whole-molecule positive. Immunoblot studies of the total proteins of E. tenella merozoites and sporozoites of the original strain and 2 precocious lines have demonstrated that precocious attenuation produced different S100 protein isotypes."	9920309					"Cool, but couldn't find paper online and abstract didn't mention actual localisations"			
"#"		12892046	"outer portions during sporocysts, apical during sporozoite"				"not specific to particular proteins so ignored"			
"#"		12892046	"outer portions during sporocysts, apical during sporozoite"				"not specific to particular proteins so ignored"			
"#S100"	"Our results demonstrated a positive immunoreaction within the schizonts, macrogametes, and oocysts. These stages were all beta subunit and S100 whole-molecule positive. Immunoblot studies of the total proteins of E. tenella merozoites and sporozoites of the original strain and 2 precocious lines have demonstrated that precocious attenuation produced different S100 protein isotypes."	9920309					"Cool, but couldn't find paper online and abstract didn't mention actual localisations"			
"#Flotillin-1"		"17436964, 17539416"	"apical surface"				"The presence of flotillin-1 on the cellular membrane of sporozoites predominantly at the apical tip suggests that flotillin-1 belongs to the invasion machinery of E. tenella."		"has not been sequenced yet, but can find putative genes using blast against the genome"	
"#EtAMA2"		18310354				"polyclonal antibody directly to protein"	"Anti-EtAMA2 is protein that recognizes the apical membrane antigen 2 protein (AMA2) that is located in the micronemes of the merozoites of E. tenella (F. Tomley, unpublished data)."		"strain information not found"	"localisation not annunciated"
"#HSP70"	"HSP70 was localized at the ultrastructural level using an anti-HSP70 monoclonal antibody in combination with a secondary antibody coupled to colloidal gold."	18573348	"CAA87086"				"boring, didn't see real localisation pictures"			
"EtGFAT"	"ETH_00019125"	19897739	"Diffuse intracellular and not host tissue during macrogamete, not during microgamete"	"blast from GQ463153"	"Light"	"polyclonal antibody against epitope CNPDKPRGLAKTVTVS"	"Like anti-EmGam56, anti-EtGFAT localised specifically to E. tenella macrogametes (DAPI-negative) at 144 hours p.i. and displayed negligible binding to surrounding host tissue and E. tenella microgametes, both of which were stained positively with DAPI (Fig. 4A). ... In contrast, EtGFAT localisation was more diffuse and it is not clear whether the protein is restricted to any specific organelle (Fig. 4B)."			
"EtGam56"		19897739	"WFBII during macrogamete, not during microgamete"		"Light"	"polyclonal antibody to homologue"	"Closer examination of E. tenella macrogametes revealed EtGam56 localised to WFBII (Fig. 4B), consistent with anti-EmGam56 localisation within E. maxima macrogametes (Ferguson et al., 2003)."			
"#H+-PPase "		21699625	"acidocalcisomes during sporozoite"		"Light, EM"	"polyclonal antibody to homologue"	"Antibodies raised against a plant vacuolar proton pyrophosphatase (H+-PPase) recognizeﾠEimeriaﾠsp. structures that are associated with theﾠEimeriaﾠacidocalcisomes. "	"Pa"	"gene model not known"	
"Etserpin"	"ETH_00011330"	21842392	"markedly concentrated at the apical during sporozoite and 2 hours after sporozoite invasion, host cell during 24 hours after sporozoite invasion, small defined area in the host cell during trophozoite, generally distributed during free merozoite, throughout the membrane during immature schizont and mature schizont"	"blast from AJ920258, annotation matches"	"Light"	"antibody"	"Etserpin exhibited a homogenous distribution pattern throughout the cytoplasm of SZ incubated in PBS (Fig.�6a). In contrast, SZ incubated in culture medium showed Etserpin being markedly concentrated at the apical end (Fig.�6b). At 2�h p.i. the apical localization pattern remained (Fig.�6c). In agreement with the function of a secreted serpin, labeled rEtserpin was detected in the host cell (Fig.�6d). Moreover, robust expression of Etserpin was detected in trophozoites and particularly concentrated within a small defined region in the host cell (Fig.�6e). Eventually, the labeled rEtserpin had uniformly dispersed throughout the membrane of the immature and mature schizonts (Fig.�6f, g). In free merozoites, immunostaining was generally distributed (Fig.�6h, i). "		"strain information not found"	
"#EtMsEA"		21876035	"microneme during oocyst and sporozoite"		"Fixed light, EM"	"EYFP tag"	"Subcellular localization of EYFP in the EtMsEA sporozoites by immunoelectron microscopy. EYFP stained with gold (dense dark spots) were generally located in the micro-nemes."	"BJ"	"tubulin promoter"	"not a real protein"
"#EtTNED"		21876035	"nuclei and cytoplasm during oocyst and sporozoite"		"Fixed light"	"EYFP tag"	"EYFP ex-pressed in EtTNED (E. tenella transfected with pSK+TNED) was observed in the cytoplasm and par-ticularly nuclei of sporozoites;"	"BJ"	"tubulin promoter"	"not a real protein"
"MIC2"		21876035	"microneme during sporozoite"		"Fixed light"	"antibody"	"EtMsEA were observed in the mi-cronemes with MIC2."	"BJ"		
