"#Protein common name"	"Gene Model ID"	"PMID"	"Localisation"	"GenBank Accession Mapping notes"	"Microscopy Type"	"Tag Type"	"Quote"	"Strain"	"Comments"
"MSA-2a1"	"BBOV_I003010"	12379726	"surface during merozoite and sporozoite"	"annotation matches"	"Light"	"antibody"	"Together, these results demonstrate the expression of MSA-2 proteins on the surface of both merozoites and sporozoites and show that specific antibodies block initial binding and subsequent erythrocyte invasion"		"strain information not found"
"MSA-2a2"	"BBOV_I003000"	12379726	"surface during merozoite and sporozoite"	"annotation matches"	"Light"	"antibody"	"Together, these results demonstrate the expression of MSA-2 proteins on the surface of both merozoites and sporozoites and show that specific antibodies block initial binding and subsequent erythrocyte invasion"		"strain information not found"
"MSA-2b"	"BBOV_I002990"	12379726	"surface during merozoite and sporozoite"	"annotation matches"	"Light"	"antibody"	"Together, these results demonstrate the expression of MSA-2 proteins on the surface of both merozoites and sporozoites and show that specific antibodies block initial binding and subsequent erythrocyte invasion"		"strain information not found"
"MSA-2c"	"BBOV_I003020"	12379726	"surface during merozoite and sporozoite"	"annotation matches"	"Light"	"antibody"	"Together, these results demonstrate the expression of MSA-2 proteins on the surface of both merozoites and sporozoites and show that specific antibodies block initial binding and subsequent erythrocyte invasion"		"strain information not found"
"#EF-1alpha"		19819628			"Light"	"GFP tag"		"Mo7"	"no localisation described, but pictures shown"
"#EF-1alpha"		18831975							"no localisation described, but pictures shown"
"#VESA1a"		20226217							"exact gene targeted not known, protein involved in antigenic variation"
"#VESA1b"		20226217							"exact gene targeted not known, protein involved in antigenic variation"
"Bbo-MIC1"	"no matching gene model found"	20304092	"during infected erythrocytes"	"blast from FJ613638, no gene model hits"	"Fixed light"	"antibody to epitopes KEYIHEIKAATLNSLIRKNC and GCYRDDEVSYDI"	"The anti-rBbo-MIC1 protein mouse antiserum and both rabbit anti-peptide 1 and 2 antisera specifically recognized antigens in B. bovis infected erythrocytes in immunofluorescence (Fig. 1, panels A, B, C, respectively)."	"Mo7"	
"Bbo-6cys-E"	"BBOV_II001180"	20884375	"intracellular and weak erythrocyte membrane during erythrocyte"	"blast from XP_001609645"	"Fixed light"	"antibody to GPDTPHDKVLEAAQC, antibody to KSDGIANHRNDAG"	"Pooled antisera against the rBbo-6cys-E protein and against Bbo-6cys-E peptides 1 and 2 specifically recognize antigens in infected B. bovis-infected erythrocytes, showing a clear fluorescent pattern (Fig. 4, picture A, C and E). Interestingly, weak fluorescence was also found to be associated with the erythrocyte membranes."	"Mo7"	
"bovipain-2"	"BBOV_IV007730"	21092313	"Middle-rear and erythrocyte cytoplasm during merozoites"	"blast from XP_001610695, annotation matches"	"Fixed light"	"antibody"	"Immunofluorescence studies showed an intracellular localization of bovipain-2 in the middle-rear region of in vitro cultured merozoites, as well as diffused in the cytoplasm of infected erythrocytes."	"BboS2P, RAD"	
"RAP-1"		21092313	"punctuated and not erythrocyte cytoplasm during merozoite"		"Fixed light"	"monoclonal antibody"	"As expected [27], anti-rhoptry associated protein-1 (RAP-1) monoclonal antibodies tested on the same smears yielded a punctuated pattern, with no erythrocyte cytoplasm reaction (Fig. 6D), and normal mice serum gave no signal (Fig. 6E)."	"BboS2P, RAD"	
"BbSBP-4"	"BBOV_IV005390"	21406202	"spherical body and not nucleus and not micronemes during early phase of single merozoite and ring and early cell division, RBC during late stages"	"blast from AF486506, annotation matches"	"Fixed light, EM"	"antibody"	"The immunoelectron microscopic examination confirmed the localization of BbSBP-4 in spherical bodies, but not in the nucleus, rhoptries, and micronemes. Interestingly, the protein was found to be localized not only in the spherical body of Babesia bovis but also in the cytoplasm of infected erythrocytes (iRBC) at the later stage of parasite development."	"Texas"	
"BbRAP-1"		21406202	"infected RBC during shortly after merozoite invasion"		"Fixed light"	"antibody"	"To further define the secretion of BbSBP-4, co-localization studies were carried out with rabbit immune sera specific to rBbRAP-1 and rBbSBP-1 [12], known as secreted proteins within the cytoplasm of infected RBC."	"Texas"	
"BbSBP-1, Bb-1"		21406202	"cytoplasm during free merozoites and merozoite invasion and after merozoite invasion, infected RBC membrane during ring stage and sequentially dividing forms and rupturing form"		"Fixed light"	"antibody"	"At the early stage of the ring form, BbSBP-1 was detected within the cytoplasm of the parasite in a pattern overlapped by BbSBP-4 (Fig. 3A, panel f), while, at a later stage, BbSBP-1 appeared to be uniformly distributed throughout the cytoplasm with high intensity near the membrane of infected RBC, persisting throughout the developmental stages of parasites (Fig. 3A, panels g-j)."	"Texas"	
"RRA"	"BBOV_IV010280"	21554842	"during merozoite"	"Blast from XP_001610950, annotation matches"	"Fixed light"	"polyclonal antibody to peptide fragment"	"Taken together, the transcription analysis, immunoblot and IFA data show that the RRA is expressed in B. bovis merozoites."	"Mo7"	
"RAP-1"		21554842	"during merozoite"		"Fixed light"	"monoclonal antibody BABB75A4"	"Additionally, the results suggest that RRA is present at lower levels when compared to RAP-1 in cultured merozoites. "	"Mo7"	
