"#"	"Protein common name"	"GenBank ID"	"PMID"	"Localisation"	"GenBank Accession Mapping notes"	"Microscopy Type"	"Tag Type"	"Quote"	"Strain"	"Comments"
"Babesia gibsoni"	"BgP22"	"FJ608703"	19665019	"membrane during ring stage of trophozoites and merozoite"	"taken directly from publication"	"Light"	"polyclonal antibody directly to protein"	"Figure 1 demonstrates that the immunofluorescent detection of BgP22 using the anti-rBgP22 mouse serum was strong in the ring stage of trophozoites as well as the merozoite stage and that BgP22 was co-localized with BgP50 which was previously identified as a membrane protein on the membrane of B. gibsoni (Fukumoto et al., 2001). "		"strain information not found"
"Babesia gibsoni"	"BgP50"		19665019	"membrane during ring stage of trophozoites and merozoite"		"Light"	"polyclonal antibody directly to protein"	"Figure 1 demonstrates that the immunofluorescent detection of BgP22 using the anti-rBgP22 mouse serum was strong in the ring stage of trophozoites as well as the merozoite stage and that BgP22 was co-localized with BgP50 which was previously identified as a membrane protein on the membrane of B. gibsoni (Fukumoto et al., 2001). "		
"#Babesia gibsoni"	"BgRab6 & BgRab11"	"AF461434, AF461435"	12594961					"Rab proteins appear to be involved in the regulation of vesicle transport along the exocytic and endocytic pathways. Rab proteins have a highly variable C-terminal domain which specify their localization in the appropriate secretory compartments. The apparent specificity with which Rab proteins are localized to specific compartments make them ideally suited as biomarkers."		"no localisation described"
"Babesia gibsoni"	"BgLAP"	"AB490782"	19549347	"cytoplasm during merozoite"		"Light"	"polyclonal antibody directly to protein"	"The specific fluorescence observed agreed with its localization in the cytoplasm of the B. gibsoni merozoites"	"NRCPD"	
"#Babesia spp"	"Endogenous longipain/(cysteine protease)"	"AB255051"	18483546					"Endogenous longipain was mainly expressed in the midgut epithelium and was specifically localized at lysosomal vacuoles and possibly released into the lumen."		"localisation is of tick, not babesia gene"
"Babesia bigemina"	"p200"	"AF142406"	10834983	"cytoplasm during merozoite"		"EM"	"monoclonal antibody directly to protein"			
"#Babesia microti"	"BmP94"	"AB540023"	20599995					"Although, the fluorescence was consistently observed within the cytosol of parasites, the conclusive localization of the BmP94 needs further investigation using electron microscopic examination."		"authors aren't confident enough"
"Babesia microti"	"BmSA1"	"HM630276"	21070864	"cytoplasm during ring form and dividing form and extracellular"	"taken directly from publication"	"Fixed light"	"antibody"	"As shown in Fig.ﾠ3, strong and specific fluorescence was observed within the cytoplasm of the parasites during the various developmental stages."		
"#Babesia bigemina"	"Bovipain-2"		21092313	"Middle-rear and erythrocyte cytoplasm during merozoites"					"Mexico"	"gene not specified"
"Babesia gibsoni"	"BgHsp70"	"AB083515"	21454016	"parasite surface during exoerythrocitic"	"taken directly from 12446097"	"Fixed light"	"polyclonal antibody directly to protein"	"This result showed that BgHsp70 would be expressed on the surface of parasites during the exoerythrocytic stage."	"a naturally infected dog in Nagasaki, Japan in 1973"	
